uk,ru,count
Хабанець,Хабанець,2
Домна,Домна,2
Кривошлик,Кривошлык,2
Топоров,Топоров,2
Золкіна,Золкина,2
Слоневська,Слоневская,2
Луріна,Лурина,2
Мотрона,Матрена,2
Арон-Даніел,Арон-Даниэл,2
Мілана,Милана,2
Ван Зіл,ван Зил,2
Моніка Памела,Моника Памела,2
Рустамовна,Рустамовна,2
Нєстєрова,Нестерова,2
Радняний,Радняний,2
Перскова,Перскова,2
Веретеннікова,Веретенникова,2
Фіцич,Фицич,2
Старецька,Старецкая,2
Троянський,Троянский,2
Михальський,Михальский,2
Царегородцева,Царегородцева,2
Уляна-Марія,Ульяна-Мария,2
Уляна-Марія,Уляна-Мария,1
Ромунтисович,Ромунтисович,2
Іонушас,Ионушас,2
Бронюс,Бронюс,2
Валентирова,Валентирова,2
Ломага,Ломага,2
Магеррамова,Магеррамова,2
Сухарніков,Сухарников,2
Шкуропат,Шкуропат,2
Красноперова,Красноперова,2
Хаммо,Хаммо,2
Горностаєва,Горностаевая,2
Горностаєва,Горностаева,1
Ворон,ворон,2
Андріїшен,Андриишен,2
Алєксандра,Александра,2
Коржева,Коржева,2
Домбровська,Домбровская,2
Сербіна (Солод),Сербина (Солод),2
"Юрійович,",Юриевич,2
"Юрійович,","Юрьевич,",1
Маїна,Маина,2
Шилов,Шилов,2
Ульяна,Ульяна,2
Діжа,Дижа,2
Жукровська,Жукровская,2
Лойфенфельд,Лойфенфельд,2
Даніела,Даниэла,2
Колтипіна,Колтыпина,2
Сатовська-Литвиненко,Сатовская-Литвиненко,2
Краснопольська,Краснопольская,2
Галіцина,Галицина,2
Галіцина,Галицына,1
Сцібан,Сцибан,2
Любинський,Любинский,2
Гансецький,Гансецький,2
Гріджан,Гриджан,2
Грубська,Грубская,2
Шафранова,Шафрановая,2
Піпа,Пипа,2
Могілевець,Могилевець,2
Рубєн,Рубен,2
Гнатишина,Гнатышина,2
Мартінус де бір,Мартинус где бор,2
Мартінус де бір,Мартинус де бир,1
Віллем,Виллем,2
Дембіцький,Дембицкий,2
Аделіна,Аделина,2
Віоріка,Виорика,2
Кушнаренко,Кушнаренко,2
Імберов,Имберов,2
Навроцька,Навроцкая,2
Кірілл,Кирилл,2
Роспопова,Роспопова,2
Шевченко-Катамадзе,Шевченко-Катамадзе,2
Пеньок,Пенек,2
Морщагін,Морщагин,2
Одажиу,Одажиу,2
Маргарович,Маргарович,2
Андранік,Андраник,2
Віталія-Віталіна,Виталия-Виталина,2
Ходачкевич,Ходачкевич,2
Тараторіна,Тараторина,2
Пермінова,Перминова,2
Синельніченко,Синельниченко,2
Клім,Клим,2
Космачевський,Космачевский,2
Бурдейний,Бурдейный,2
Юр’ївна,Юрьевна,2
Дубовицька,Дубовицкая,2
Констянтинович,Константинович,2
Збуцький,Збуцький,2
Вощевська,Вощевская,2
Понкращенкова,Понкращенкова,2
Суровицький,Суровицкий,2
Бевз,Бевз,2
Попрас,Попрас,2
Заїкіна,Заикина,2
Денісенков,Денисенкова,2
Анатолівна,Анатольевна,2
Вільховий,Ольховый,2
Голотайстрова,Голотайстрова,2
Шпачкаускене,Шпачкаускене,2
Пігула,Пигула,2
Янгев,Янгев,2
Берлінська,Берлинская,2
Гнилосир,Гнилосыр,2
Дорофеєв,Дорофеев,2
Єгупенко,Егупенко,2
Курінська,Куринская,2
Новоселецький,Новоселецкий,2
Дорофеєва,Дорофеева,2
Топольський,Топольский,2
Курченко,Курченко,2
Томашина,Томашина,2
Грігол,Григол,2
Торніке,Торнике,2
Копалейшвілі,Копалейшвили,2
Тацький,Тацький,2
Пелагня,Пелагня,2
Максим Олександр,Максим Александр,2
Бондаревський,Бондаревский,2
Ладиженський,Ладыженский,2
Євстахійнович,Евстахийнович,2
Найдьонов,Найденов,2
Криворчук,Криворчук,2
Пушкарьова,Пушкарева,2
Володимировна,Владимировна,2
Неплюєва,Неплюева,2
Точицька,Точицкая,2
Кулієвич,Кулиевич,2
Колодницький,Колодницкий,2
Азімова,Азимова,2
Дарья Анукі,Дарья Ануки,2
Пічугін,Пичугин,2
Насальський,Насальский,2
Сибільов,Сибилев,2
Краснікова,Красникова,2
Александр,Александр,2
Ляпченко,Ляпченко,2
Зімін,Зимин,2
Бутківська,Бутковский,2
Бутківська,Бутковская,1
Фащевський,Фащевский,2
Глініна,Глинина,2
Ктова,Ктова,2
Зор'яна,Зорьяна,2
Калинівна,Калинивна,2
Вероника,Вероника,2
Парпуланська,Парпуланська,2
Дутова,Дутова,2
Лягутко,Лягутко,2
Зенович,Зенович,2
Черпіцький,Черпицкий,2
Цугель (Білик),Цугеля (Билык),2
Цугель (Білик),Цугель (Билык),1
Ваганов,Ваганов,2
Прокуда,Прокуда,2
Ярмольська,Ярмольская,2
Дюкова,Дюкова,2
Потєха,Потеха,2
Толчина,Толчина,2
Шошина,Шошина,2
Осуховська,Осуховская,2
Маценко,Маценко,2
Чугунникова,Чугунникова,2
Ясміна,Ясмина,2
Глушакова,Глушакова,2
Павілівна,Павиливна,2
Жигурський,Жигурский,2
Рожков,Рожков,2
Ліонович,Лионович,2
Дубровець,Дубровець,2
Севастьянова,Севастьянова,2
Ягодіна,Ягодина,2
Пакулова,Пакулова,2
Дмитрієвна,Дмитриевна,2
Златослава,Златослава,2
Темніков,Темников,2
Страшна,Страшная,2
Гранд,Гранд,2
Гуславська,Гуславская,2
Пташинський,Пташинский,2
Тімоті,Тимоти,2
Вілінська,Вилинская,2
Ладна,Ладная,2
Гриновецька,Гриновецкая,2
Бобкова,Бобкова,2
Кочкаров,Кочкаров,2
Тагір,Тагир,2
Восьмерик,восьмерик,2
Лоюк,Лоюк,2
Вітальович,Виталевич,2
Вітальович,Витальевич,1
Коломойська,Коломойская,2
Ніколета,Николета,2
Мелентьєв,Мелентьев,2
Бринцева,Брынцева,2
Яковлівна,Яковлевна,2
Березова,Березовая,2
М'якотіна,Мьякотина,2
Ощепкова,Ощепкова,2
Пахольчук,Пахольчук,2
Ямпольська,Ямпольская,2
Арчіл,Арчил,2
Бичкова,Бычкова,2
Ткаченко (Гуменюк),Ткаченко(Гуменюк),2
Кобцева,Кобцева,2
Вотченіков,Вотчеников,2
Громец,Громец,2
Горохова,Гороховая,2
Радібеба,Радибеба,2
Дроздова,Дроздова,2
Цирюльников,цирюльников,2
Вололдимир,Вололдимир,2
Рудь (Гайдук),Рудь(Гайдук),2
Зацеркляна,Зацеркляный,2
Безсмертна,Бессмертная,2
Безсмертна,бессмертна,1
Марушан,Марушан,2
Серафимівна,Серафимовна,2
Богуслаєва,Богуслаева,2
Арешонкова,Арешонкова,2
Мірон,Мирон,2
Монастирецька,Монастырецкая,2
Гребеніков,Гребеников,2
Устинія,Устиния,2
Парасковія,Прасковья,2
Ірина-Меланія,Ирина-Мелания,2
Ліпінська,Липинская,2
Ліпінська,Липинска,1
Алверн Джеремі,Алверн Джереми,2
Марянович,Марьянович,2
Юліта,Юлита,2
Казачкова,Казачкова,2
Савон,Савон,2
Івать,ивать,2
Божан,Божан,2
Глузманова,Глузманова,2
Баландіна,Баландина,2
Руда,Руда,2
Пузиревська,Пузыревская,2
Аннета,Аннета,2
Нєсвєтов,Несветов,2
Пупченко,Пупченко,2
Дереча,Дереча,2
Алілова,Аллилова,2
Анна Мілана,Анна Милана,2
Власкіна,Власкина,2
Шулімович,Шулимович,2
Букштейн,Букштейн,2
Підлісецька,Пидлисецкий,2
Шалк ван геерден,Шалк ван геерден,2
Уіллем,Уиллем,2
Безкоровайна,Бескоровайная,2
Ларіна,Ларина,2
Хрипко,Хрипко,2
Волкова-Опанасенко,Волкова-Опанасенко,2
Ємшина,Емшина,2
Кальцева,Кальцева,2
Городничий,городничий,2
Ряховська,Ряховская,2
Хутковська,Хутковська,2
Зеленецька,Зеленецкая,2
Аркаллаєва,Аркаллаев,2
Аркаллаєва,Аркаллаева,1
Михаіл,Михаил,2
Березовий,Березовый,2
Горбачевська,Горбачевская,2
Лапіна,Лапина,2
Івашина,Ивашина,2
Володарська,Володарская,2
Шубіна,Шубина,2
Бершадський,Бершадский,2
Дем'яносов,Демьяносов,2
Самоукова,Самоукова,2
Васьковець,Васковец,2
Суржак,Суржак,2
Ханов,Ханов,2
Товянський,Товянский,2
Руса,Русса,2
Руса,руса,1
Сербіна,Сербина,2
Турська,Турская,2
Микуленко (Гуцал),Микуленко(Гуцал),2
Єлизавета Вікторія,Елизавета Виктория,2
Казацький,Казацкий,2
Білінський,Белинский,2
Рижикова,Рыжикова,2
Діляверівна,Диляверовна,2
Жумаділова,Жумадилова,2
Альфредовна,Альфредовна,2
Машуков,Машуков,2
Арменович,Арменович,2
Великолуг,Великолуг,2
Трандасір,Трандасир,2
Ціка,Цика,2
Петр,Петр,2
Євангеліна,Евангелина,2
Запорожан І. Д.,Запорожан И. Д.,2
Снєжко,Снежко,2
Скуратовська,Скуратовская,2
Рябчина,Рябчина,2
Аліка,Алика,2
Аліка,Алека,1
Гелен,Хелен,2
Елена Марія,Елена Мария,2
Іллясович,Иллясович,2
Латишева,Латышева,2
Шарпінська,Шарпинская,2
Шарпінська,Шарпинська,1
Чеховська,Чеховская,2
Принцевський,Принцевский,2
Горобинська,Горобинская,2
Игорович,Игоревич,2
Швецов,Швецов,2
Бєляновська,Беляновская,2
Рабовська,Рабовська,2
Солопова,Солопова,2
Іржина,Иржина,2
Бартовщук,Бартовщук,2
Матвієнкова,Матвиенкова,2
Тіберійович,Тибериевич,2
Тіберійович,Тиберийович,1
Горькава,Горькавая,2
Лютіков,Лютиков,2
Бахтіярівна,Бахтияровна,2
Ельміра,Эльмира,2
Кімович,Кимович,2
Гасиловський,Гасиловский,2
Фелонівна,Фелоновна,2
Рімович,Римович,2
Болтунов,Болтунов,2
Гришаєва,Гришаева,2
Зенонівна,Зеноновна,2
Нана,Нана,2
Казимірович,Казимирович,2
Скібіцька,Скибицкая,2
Тяпаєв,Тяпаев,2
Острянська,Острянская,2
Черепаніна,Черепанина,2
Свінціцький,Свинцицкий,2
Полєжай,Полежай,2
Ворушиліна,Ворушилина,2
Вербіна,Вербина,2
Вітрова,Ветровая,2
Могілєвкіна,Могилевкина,2
Леонид,Леонид,2
Богдан-Орест,Богдан-Орест,2
Черкунова,Черкунова,2
Вороняк,Вороняк,2
Рахівська,Рахивская,2
Місюрьов,Мисюрьов,2
Павла Ніколетта,Павла Николетта,2
Калістратівна,Калистратовна,2
Арсєнтьєва,Арсентьева,2
Приварська,Приварська,2
Салашна,Салашная,2
Триголова,Трехголовая,2
Праведна,праведная,2
Азатівна,Азатовна,2
Даніліна,Данилина,2
Пікула,Пикула,2
Уруська,Уруская,2
Голімбієвська,Голимбиевская,2
Мазука,Мазуко,2
Аміна,Амина,2
Абромавичуте,Абромавичуте,2
Грива,грива,2
Лосєва,Лосева,2
Страшевська,Страшевская,2
Ніколь-Женева,Николь-Женева,2
Іван-Павло,Иван-Павел,2
Марчевський,Марчевский,2
Корнєв,Корнев,2
Соколик,Соколок,2
Бовраш,Бовраш,2
Тичков,Тычков,2
Безкровна,бескровная,2
Євстахіївна,Евстахиевна,2
Іваніцька,Иваницкая,2
Тостановський,Тостановский,2
Катерина-Дарія,Екатерина-Дарья,2
Катерина-Дарія,Катерина-Дария,1
Гуксян,Гуксян,2
Патріна,Патрина,2
Новова,Новова,2
Рза Огли,Рза оглы,2
Садіг,Садиг,2
Гущесов,Гущесов,2
Ганчукова,Ганчукова,2
Галицька,Галицкая,2
Плахотнюк,Плахотнюк,2
Геннадіевич,Геннадиевич,2
Есгатівна,Есгатовна,2
Гузял,Гузял,2
Локатир,Локатыр,2
Куріло,Курило,2
Константінова,Константинова,2
Харисівна,Харисовна,2
Колобкова,Колобкова,2
Брицька,Брицкая,2
Борох,Борох,2
Ліпчанський,Липчанский,2
Виткалова,Виткалова,2
Сисиюк,Сисиюк,2
Лашкарьова,Лашкарева,2
Чемодурова,Чемодурова,2
Уткіна,Уткина,2
Байрамова,Байрамова,2
Золотнікова,Золотникова,2
Олефірова,Олефирова,2
Турковська,Турковский,2
Турковська,Турковская,1
Денищук,Денищук,2
Пісклова,Писклова,2
Циплинська,Циплинська,2
Кокарєва,Кокарева,2
Катунова,Катунова,2
Биць,Быць,2
Амергулова,Амергулова,2
Задворна,Задворная,2
Цицик,Цицик,2
Теут,Теут,2
Ніязівна,Ниязивна,2
Голіенберова,Голиенберова,2
Розелія,Розелия,2
Мкртчян-Авакян,Мкртчян-Авакян,2
Алімовна,Алимовна,2
Гапонова,Гапонова,2
Ладимира,Ладимира,2
Веретюк,Веретюк,2
Діденко Дзюбецька,Диденко Дзюбецкая,2
Діденко Дзюбецька,Диденко Дзюбецка,1
Єва Клавдия,Ева Клавдия,2
Агриков,Агриков,2
Марусик,Марусик,2
Хачатурівна,Хачатуровна,2
Постолов,Постолов,2
Дмитріва,Дмитрива,2
Смальчук,Смальчук,2
Чернишевич,Чернышевич,2
Лівандовський,Ливандовский,2
Лагошина,Лагошина,2
Продівус,Продивус,2
Куровська,Куровская,2
Гарапко,Гарапко,2
Бершова,Бершова,2
Глімбовська,Глимбовская,2
Ястремська,Ястремская,2
Закутаєва,Закутаева,2
Григорьєва,Григорьева,2
Людвикович,Людвикович,2
Хамський,Хамский,2
Давня,Давняя,2
Олексійвна,Алексеевна,2
Мустафаївна,Мустафаивна,2
Сафінар,Сафинар,2
Зубчевська,Зубчевская,2
Королех,Королех,2
Мамонтов,Мамонтов,2
Улицька,Улицкая,2
Артьомович,Артьомович,2
Алі,Али,2
Нагорних,Нагорных,2
Улинець,Улинец,2
Єлизавета-Таїсія,Елизавета-Таисия,2
Симонец,Симонец,2
Шепелла-Брензович,Шепелла-Брензович,2
Блавацька,Блавацкая,2
Алі Огли,Али Оглы,2
Бєдєлєва,Беделева,2
Терьохіна,Терехина,2
Вадзінська,Вадзинская,2
Кришина,Кришина,2
Падалко,Падалко,2
Полежаєва,Полежаева,2
Тігранович,Тигранович,2
Кобріна,Кобрина,2
Піщанська,Песчанская,2
Піщанська,Пещанская,1
Дорохова,Дорохова,2
Потаніна,Потанина,2
Ріта Марія,Рита Мария,2
Зацепіна,Зацепина,2
Бредун,Бредун,2
Демянос,Демянос,2
Заболотня,Заболотная,2
Путілова,Путилова,2
Пісоцький,Песоцкий,2
Пісоцький,Писоцкий,1
Валюшко,Валюшко,2
Канурний,Канурний,2
Лаговська,Лаговская,2
Матвеєва,Матвеева,2
Тарівєрдієва,Таривердиева,2
Опімах,Опимах,2
Озерович,Озерович,2
Мікаіл Мелих,Микаил Мелих,2
Вовчко-Хміль,Вовчко-хмиль,2
Дмитровська,Дмитровская,2
Недашковська,Недашковская,2
Шкуратов,Шкуратов,2
Резвухіна,Резвухина,2
Венедіктов,Венедиктов,2
Трехлеб,Трехлеб,2
Фомичова,Фомичева,2
Цуканов,Цуканов,2
Полохіна,Полохина,2
Філатова (плешанова),Филатова(плешанова),2
Філатова (плешанова),Филатова (Плешанова),1
Сотнікова,Сотникова,2
Джеменіці,Джеменици,2
Єфросініна,Ефросинина,2
Дзюбіна,Дзюбина,2
Веденяпіна,Веденяпина,2
Храновська,Храновская,2
Чев'юк,Чевьюк,2
Княжицька,Княжицкая,2
Жданкіна,Жданкина,2
Кіліянчук,Килиянчук,2
Кочура,Кочура,2
Валентинівно,Валентиновна,2
Зубаль,Зубаль,2
Бориславович,Бориславович,2
Обозненко,Обозненко,2
Диканська,Диканьская,2
Ляховський,Ляховский,2
Балінська,Балинская,2
Тиводорович,Тиводорович,2
Карпушина,Карпушина,2
Орона,Орона,2
Прокіп-Іван,Прокоп-Иван,2
Піхоцька,Пихоцкая,2
Гайдай-Тітарчук,Гайдай-Титарчук,2
Пайос,Пайос,2
Бреславська,Бреславская,2
Фінагеєва,Финагеева,2
Нікушина,Никушина,2
Пиндик,Пиндик,2
Ольховська,Ольховская,2
Белиба,Белиба,2
Ліон,Лион,2
Оначенко,Оначенко,2
Боярська,Боярская,2
Баранюк,Баранюк,2
Мулявка,Мулявка,2
Кмита,Кмита,2
Чаплієва,Чаплиева,2
Бухарєва (Коротєєва),Бухарева (Коротеева),2
Гагіна,Гагина,2
Демянович,Демянович,2
Воронова,Воронова,2
Демідова,Демидова,2
Аліфанова,Алифанова,2
Рашитівна,Рашитовна,2
Глубашенко,Глубашенко,2
Доманецька,Доманецька,2
Познякова,Познякова,2
Шарунов,Шарунов,2
Димарецька,Дымарецкая,2
Материнська,Материнская,2
Хомюк,Хомюк,2
Марія-Софія,Мария-София,2
Григорий,Григорий,2
Садова,Садовая,2
Гончарова-Парфьонова,Гончарова-Парфенова,2
Пруднікова,Прудникова,2
Лаченков,Лаченков,2
Тельний,тельный,2
Гаркава,Гаркавая,2
Бойкова,Бойкова,2
Чалапчій,Чалапчий,2
Масельська,Масельская,2
Елизавета,Елизавета,2
Сальнікова,Сальникова,2
Ольга-Марія,Ольга-Мария,2
Данило-Левко,Даниил-Левко,2
Недельська-Табачнік,Недельская-Табачник,2
Ложкіна,Ложкина,2
Віллівна,Вилливна,2
Лущак,Лущак,2
Щабельська,Щабельская,2
Сухова,Сухова,2
Міленіна,Миленина,2
Умрихіна,Умрихина,2
Мосолова,Мосолова,2
Плотников,Плотников,2
Палатна,Палатная,2
Терлецька,Терлецкая,2
Кулішов,Кулешов,2
Сімановська,Симановская,2
Левіщева,Левищева,2
Сатко,Сатко,2
Кисла,Кислая,2
Косарєва,Косарева,2
Гонтарь,Гонтарь,2
Баронін-Фріз,Баронин-Фриз,2
Сарнавська,Сарнавская,2
Хоміцька,Хомицкая,2
Володимиро-Ярославівна,Володимиро-Ярославовна,2
Желізняк,Железняк,2
Айсіна,Айсина,2
Грановська,Грановская,2
Ася,Ася,2
Панов,Панов,2
Жиженко,Жиженко,2
Савіцька,Савицкая,2
Рябішина,Рябишина,2
Євтушевська,Евтушевская,2
Гуріна,Гурина,2
Скабицька,Скабицька,2
Горбуліна,Горбулина,2
Глєб,Глеб,2
Боровий,Боровой,2
Кузькевич,Кузькевич,2
Стахівна,Стахивна,2
Маргаріта,Маргарита,2
Гергій,Георгий,2
Гергій,Гергий,1
Марія-Євангеліна,Мария-Евангелина,2
Скребець,Скребец,2
Єднобик,Еднобик,2
Болотська,Болотская,2
Інгріда,Ингрида,2
Стефанцова,Стефанцов,2
Сергїй,Сергей,2
Гулов,гулов,2
Шакун,Шакун,2
Ходаков,Ходаков,2
Шаманський,Шаманский,2
"Олексіївна,",Алексеевна,2
"Олексіївна,","Алексеевна,",1
Вєроніка,Вероника,2
Жебелюк,Жебелюк,2
Кострицька,Кострицкая,2
Анрусишин,Анрусишин,2
Суковата,Суковатая,2
Голубятникова,Голубятникова,2
Плюнгіна,Плюнгина,2
Ілія,Илия,2
Гомонай,Гомонай,2
Девляшевська,Девляшевська,2
Орлецька,Орлецкая,2
Конопелько,Конопелько,2
Погорєлая,Погорелая,2
Мар'єнко,Марьенко,2
Чернілевська,Чернилевская,2
Егор,Егор,2
Тамар'янська,Тамарьянська,2
Франтовський,Франтовский,2
Райніна,РАЙНИНА,2
Бондарєва,Бондарева,2
Ємшенецька,Емшенецька,2
Богомолець-Шереметьєва,Богомолец-Шереметьева,2
Рудьковська,Рудковская,2
Яриніч-Бучинська,Ярынич-Бучинская,2
Браніцька,Браницкая,2
Туреївна,Туреивна,2
Синяк,Синяк,2
Калина,калина,2
Мішина,Мишина,2
Міхасішина,Михасишина,2
Марянівна,Маряновна,2
Райтаровська,Райтаровська,2
Балицька,Балицкая,2
Зарва,Зарва,2
Осєтрова,Осетрова,2
Бузінова,Бузинова,2
Сальков,Сальков,2
Харькова,Харькова,2
Дєдух,Дедух,2
Соф'я,Софья,2
Вербилюк,Вербилюк,2
Шелепа,Шелепа,2
Сарновська,Сарновская,2
Мєзєнцева,Мезенцева,2
Онуфрієва,Онуфриева,2
Рибчинська,Рыбчинская,2
Рожко,Рожко,2
Закалюжна,Закалюжна,2
Вероніка-Вікторія,Вероника-Виктория,2
Львова,Львова,2
Кувшиннікова,Кувшинникова,2
Туман,туман,2
Іліас,Илиас,2
Георгеу,Георгеу,2
Дуковська,Дуковська,2
Гермаківська,Гермаковская,2
Марта-Тереза,Марта Тереза,2
Хомицька,Хомицкая,2
Будішевський,Будишевский,2
Каплунов,Каплунов,2
Татькова,Татькова,2
Татьяна,Татьяна,2
Житомирська,Житомирская,2
Миколаівна,Николаевна,2
Разміковна,Размиковна,2
Наріне,Наринэ,2
Наріне,Нарине,1
Болотіна,Болотина,2
Глімбовський,Глимбовский,2
Шамбур,Шамбур,2
Коробова,Коробова,2
Блохіна,Блохина,2
Корюкалов,Корюкалов,2
Мачульська,Мачульская,2
Кирикилиця,Кирикилиця,2
Везель,Везель,2
Глуговська,Глуговская,2
Невірець,Невирец,2
Остріков,Остриков,2
Люта,Лютая,2
Яригіна,Ярыгина,2
Лайкова,лайковая,2
Салогор (Зубрицька),Салогор(Зубрицька),2
Салогор (Зубрицька),Салогор (Зубрицкая),1
Іларійович,Иларийович,2
Орлецький,Орлецкий,2
Іскоростенська,Искоростенская,2
Голоцван,Голоцван,2
Нелла,Нелла,2
Марія-Мартіна,Мария-Мартина,2
Каміла-Крістіна,Камила-Кристина,2
Миколайвна,Миколайвна,2
Гіль,Гиль,2
Гладка,Гладкая,2
Чопко-Погребняк,Чопко-Погребняк,2
Горішна,Горишна,2
Боса,босса,2
Кутурланов,Кутурланов,2
Гладковська,Гладковская,2
Мірослава,Мирослава,2
Юліанна,Юлианна,2
Ферафонтова,Ферафонтова,2
Гурамович,Гурамович,2
Чемодуров,Чемодуров,2
Радмила,Радмила,2
Зверева,Зверева,2
Бориславівна,Бориславовна,2
Архіп,Архип,2
Семенишина,Семенишина,2
Порфирівна,Порфирьевна,2
Вітальйович,Витальевич,2
Сабада,Сабада,2
Луніна,Лунина,2
Радіон,Радион,2
Коханова,Коханова,2
Нікула,Никула,2
Горащенкова,Горащенкова,2
Дробинський,Дробинский,2
Пушнякова,Пушнякова,2
Потьомська,Потемская,2
Желтякова,Желтякова,2
Верланова,Верланова,2
Севастянівна,Севастяновна,2
Огринська,Огринська,2
Рамизівна,Рамизовна,2
Іншина,Иншина,2
Жарінов,Жаринов,2
Чигрина,Чигрина,2
Тютюник,Тютюник,2
Розман,Розман,2
Едвард-Даніель,Эдвард-Даниэль,2
Михаїл,Михаил,2
Гайду,Гайду,2
Крупенко,Крупенко,2
Артанова,Артанова,2
Ружицька,Ружицкая,2
Груздєва,Груздева,2
Шерстньов,Шерстнев,2
Мураєва,Мураева,2
Віорелівна,Виореливна,2
Родіка,Родика,2
Яцкова,Яцкова,2
Камишев,Камышев,2
Чупахіна,Чупахина,2
Тран,тран,2
Стела,Стелла,2
Хоружа,Хоружая,2
Скульська,Скульская,2
Євстафієв,Евстафиев,2
Смоленська,Смоленская,2
Євгена,Евгена,2
Бар-Гнар,Бар-Гнар,2
Балацький,Балацкий,2
Джепа,Джепа,2
Колєснікова,Колесникова,2
Кучевська,Кучевская,2
Брет Аптер,Брет Аптер,2
"Леонідович,",Леонидович,2
"Леонідович,","Леонидович,",1
Саприкін,Сапрыкин,2
Волинська,Волынская,2
Юдківська,Юдкивская,2
Юдківська,Юдковская,1
ЛІсін,Лисин,2
Будинська,Будинская,2
Сарнацька,Сарнацкая,2
Кормиліцин,Кормилицин,2
Баєв,Баев,2
Рубленко,Рубленко,2
Теремчук,Теремчук,2
Анатолиевна,анатолиевна,2
Виктория,Виктория,2
Єдуард,Эдуард,2
Ситникова,Ситникова,2
Дана,Дана,2
Лук'янець,Лукьянец,2
Василишина,Василишина,2
Чебанова,Чебанов,2
Стаднік,Стадник,2
Арета,Арета,2
Иванивна,Иванивна,2
Зайончковська,Зайончковская,2
Вера,Вера,2
Вальтерівна,Вальтеровна,2
Шеховцова,Шеховцова,2
Бела,Белла,2
Подубінський,Подубинский,2
Кукуленко,Кукуленко,2
Обнявко,Обнявко,2
Тетерська,Тетерская,2
Клініна,Клинина,2
Ладний,Ладный,2
Блінніков,Блинников,2
Волянська,Волянская,2
Аврора,Аврора,2
Бушинська,Бушинская,2
Полочанінова,Полочанинова,2
Андріанцев,Андрианцев,2
Смірнов,Смирнов,2
Зацепін,Зацепин,2
Ропчан,Ропчан,2
Домніка,Домника,2
Вітіславович,Витиславович,2
Солонніков,Солонников,2
Єлізавєта,Елизавета,2
Філіпішин,Филипишин,2
Суярко,Суярко,2
Мінасович,Минасович,2
Размік,Размик,2
Юліана,Юлиана,2
Вільданов,Вильданов,2
Плєтньова,Плетнева,2
Шарова,Шарова,2
Барахова,Барахова,2
Юрій-Іван,Юрий-Иван,2
Дорофєєва,Дорофеева,2
Прігодіна,Пригодина,2
Ліхута,Лихута,2
Тагієва,Тагиева,2
Коломис,Коломыс,2
Сабірович,Сабирович,2
Рибаченко,Рыбаченко,2
Єлова,Елова,2
Гріголія,Григолия,2
Іраклі,Иракли,2
Адоніна,Адонина,2
Корсунська,Корсунская,2
Черногор,Черногор,2
Етелла,Этелла,2
Дудечка,Дудечка,2
Шейніч,Шейнич,2
Каміняр,Каминяр,2
Золтанівна,Золтановна,2
Вінар,Винар,2
Афонова,Афонова,2
Тарабакіна,Тарабакина,2
Шаломова,Шаломова,2
Ондер,Ондер,2
Васецький,Васецкий,2
Бак,бак,2
Метка,метка,2
Ходак,Ходак,2
Шпаковська,Шпаковская,2
Райковська,Райковская,2
Волобуєва,Волобуева,2
Толстоносов,Толстоносов,2
Октавіанівна,Октавиановна,2
Мацька,Мацька,2
Ходачинський,Ходачинский,2
Аліса-Марія,Алиса-Мария,2
Калерія,Калерия,2
Зудіхін,Зудихин,2
Грязнова,Грязнова,2
Картавцева,Картавцева,2
Шебуєв,Шебуев,2
Влас,Влас,2
Данова,Данова,2
Елізавета Марія,Елизавета Мария,2
Медніков,Медников,2
Вадовський,Вадовский,2
Кочетова,Кочетова,2
Митрофанська,Митрофанська,2
Войціцький,Войцицкий,2
Іларіївна,Илариевна,2
Бандура,Бандура,2
Гавренков,Гавренков,2
Лопушанська,Лопушанская,2
Паночишена,Паночишена,2
Літвін,Литвин,2
Славінська,Славинская,2
Бідило,Бидыло,2
Польова,Полевая,2
Вероніка-Анастасія,Вероника-Анастасия,2
Мар'янівна,Марьяновна,2
Остапишина,Остапишин,2
Іоланта,Иоланта,2
Жучкова,Жучкова,2
Дмитріївна,Дмитриевна,2
Лізунова,Лизунова,2
Турманова,Турманова,2
Чечоткіна,Чечеткина,2
Худякова,Худякова,2
Декайло-Смакула,Декайло-Смакула,2
Крутова,Крутова,2
Анатоліівна,Анатольевна,2
Харін,Харин,2
Гелета,Гелета,2
Черкашина,Черкашина,2
Петришина,Петришина,2
Букрієнко,Букриенко,2
Лейзерович,Лейзерович,2
Констянтинівна,Константиновна,2
Фіалковська,Фиалковская,2
Валерієвна,Валериевна,2
Дімітрій,Димитрий,2
Бамбізова,Бамбизова,2
Жолобецька,Жолобецкая,2
Нікольська,Никольская,2
Ломець,Ломець,2
Медяна,Медвяная,2
Мікуліна,Микулина,2
Мухамедівна,Мухамедовна,2
Мусаєва,Мусаева,2
Надіра,Надира,2
Вохмінова,Вохминова,2
Путря,путря,2
Сарайкіна,Сарайкина,2
Дубей,Дубей,2
Лія,Лия,2
Шкурова,Шкурова,2
Лугова,Луговая,2
Рецебуринська,Рецебуринский,2
Звьоздочкіна,Звездочкина,2
Кучерявенко,Кучерявенко,2
Таіса,Таиса,2
Шишковська,Шишковская,2
Калітовський,Калитовский,2
Кодацька,Кодацкая,2
Олег-Євген,Олег-Евгений,2
Софія-Олена,София-Елена,2
Парфірівна,Парфировна,2
Вадатурська,Вадатурская,2
Вікторовна,Викторовна,2
Овсянніков,Овсянников,2
Еглерівна,Еглеривна,2
Пашнєва,Пашнева,2
П'єнта,Пьента,2
